N,P,K,temperature,humidity,ph,rainfall,label,label
88.39129502,54.33545536,51.31470707,37.90587015,86.05370617,1.854425453,237.9659997,rice,rice
95.99123636,54.69266965,44.65707904,23.94891094,260.5950635,0.95490011,185.284626,rice,rice
99.61704573,55.43480154,32.04687656,29.22820021,83.22010483,4.292217177,268.3182774,rice,rice
94.06496641,120.4057869,26.73173124,24.43020188,88.05250486,6.666087083,283.3160647,rice,rice
56.38281795,42.82181205,42.01806823,22.73245674,81.89803467,14,303.5390592,rice,rice
60.62797339,40.76965798,41.37490654,22.15146458,85.2866129,0,254.248593,rice,rice
62.1719581,41.2562987,32.27430147,21.40760303,78.62466938,14,247.6400594,rice,rice
60.74956511,48.89635174,40.69585906,20.64532601,78.23937054,10.30677508,205.328296,rice,rice
84.81640971,57.71975803,33.43167084,21.64973356,72.81818475,13.9320724,193.1943128,rice,rice
78.30404436,33.76254647,38.24427245,26.45603685,84.20245981,0.428438439,295.8894738,rice,rice
87.79427464,53.31950409,52.7579533,28.64155288,80.8300418,9.395360093,269.2422848,rice,rice
89.06986721,38.44374043,40.1652751,31.39917021,79.26894506,9.904677476,182.5323808,rico,rice
81.01370829,50.05332453,46.07703398,23.95642693,68.89975447,6.092173299,195.1152401,ricg,rice
79.102558,41.4329968,32.60104918,24.78549993,82.3625224,7.779739203,234.9495982,rice,rice
84.26656465,46.37589665,37.83216752,16.9488913,79.12693733,2.567577769,202.6359159,rice,rice
90.88070172,60.07143111,43.95044099,28.36378,79.26894506,13.18768878,249.8485173,rice,rice
58.37942811,41.77146819,43.12213194,11.95178337,81.01354845,0,219.0479339,rice,rice
72.90181269,61.63955946,35.52134772,17.64700643,78.79855798,10.19880314,203.394391,rice,rice
103.9493564,60.34232583,44.1164336,28.73944885,80.25067862,12.51413622,204.8830505,rici,rice
58.98421488,56.08861451,32.27430147,26.0042018,87.06131387,2.902522829,239.6716926,rice,rice
101.9108829,59.28518718,34.9069888,28.40579664,81.89974236,6.666087083,292.5907693,rice,rice
79.38569777,37.66000153,37.85512941,24.03865292,93.45478977,6.323436437,283.7035953,rice,rice
69.39501353,51.68589806,37.53955825,27.31477345,87.70175245,8.812761626,212.8737523,rice,rice
96.05527256,39.46991027,40.52927693,26.49561353,82.06125553,7.235708505,264.3247829,rice,rice
71.62364222,52.09732126,43.66132338,21.13123094,76.18486196,12.67625206,184.5440382,rice,rice
96.65718809,50.44477087,35.56442993,18.47462931,70.86121672,10.28039278,849.6881261,rict,rice
37.40668769,44.94273932,35.92466009,17.23142952,80.13100803,14,96.16730084,rice,rice
90.81516328,51.01539669,37.39576859,35.50169536,87.01182584,6.666087083,246.8105077,rice,rice
97.83940876,51.90809309,32.88820325,21.45362535,75.6982448,1.739390171,279.488996,rice,rice
70.60551575,51.01539669,34.6228007,20.03613961,79.9893444,11.72737376,199.9845533,rice,rice
81.43805043,45.57405323,39.20741443,30.30957388,79.26894506,7.703719052,262.498831,rice,rice
91.87239408,37.42562802,33.89274676,35.26408938,79.26894506,0,179.2224161,ricw,rice
101.6555362,58.03707931,41.33314913,27.83588332,79.35272118,8.599546654,200.7729558,ricn,rice
37.40668769,179.5027818,32.73608177,27.34459881,79.26894506,6.208612675,254.3788746,rice,rice
70.45921127,42.27206943,36.55792161,26.42466788,73.08151757,8.893706247,259.4319119,rice,rice
91.30312888,61.16553332,33.26310732,29.60194212,219.8610724,4.935902888,271.5559141,rice,rice
55.68902197,52.47524395,32.01503292,26.53292777,84.19458071,4.602568138,207.9352247,rice,rice
65.17903529,125.768885,38.44693637,22.68887544,85.85871743,9.007655769,251.9840516,rics,rice
37.40668769,44.62577856,47.67724883,26.27090903,83.21358597,0.39150815,884.2653622,rice,rice
76.47378023,45.44905459,49.59984347,25.083378,78.36217083,4.536999472,192.2312366,rice,rice
75.95527143,57.07378462,36.89158752,33.98015079,84.92784015,14,788.3818919,rice,rice
100.1207855,32.94168172,43.34760848,27.02752567,87.28791735,8.80358769,279.053124,rice,rice
61.61022885,42.41309136,43.28770669,31.9520072,85.16673653,8.469223412,285.0535693,rice,rice
73.96044078,38.55057079,40.76172416,25.96343512,80.49950993,2.540386084,96.16730084,rice,rice
72.70902019,35.87140036,38.33807372,29.39954478,81.1282349,6.666087083,194.3646823, rice ,rice
85.61567136,42.67182957,42.48683931,37.46409976,82.09177079,8.490626802,193.6066819,rice,rice
77.06488929,65.42432037,44.36824652,25.44574851,76.4953532,3.105147603,182.9662399,rice,rice
77.38792069,41.44895248,45.37153172,21.67390938,78.02496075,7.608482157,188.8742863,rice,rice
51.44555977,47.99256763,47.84762552,29.84564469,79.26894506,9.224984,222.620704,rice,rice
63.0959487,42.18744829,42.01828401,28.99707548,80.22316498,0,185.6705684,rice,rice
70.76776897,62.75733032,47.46495758,17.39576316,86.15179975,6.079072262,221.9181624,rice,rice
74.24702628,57.85465943,32.27430147,26.38088279,82.27574314,10.1453461,231.1152405,rice,rice
83.11691189,44.21945825,41.97580724,24.60356229,79.43540007,6.738972713,238.6151911,rice,rice
79.87362858,50.3053753,48.80601501,29.65907725,82.05755268,6.973882103,183.9112771,rice,rice
82.9514405,51.95771152,41.8336296,28.9930371,91.56883942,6.666087083,236.4427727,rice,rice
85.86625261,57.55425998,43.35304596,25.96343512,84.92436528,0,226.9869982, rice ,rice
93.00739623,51.77840562,37.70441649,24.18435809,79.60532115,7.761438349,286.1153511,rice,rice
88.54765642,38.20622385,41.01255689,22.31012261,82.1985325,10.67231949,241.5267102,rice,rice
76.45824908,50.16933354,34.55445708,25.96343512,80.17386317,4.134608169,211.3318223,rice,rice
86.65052596,39.42658778,32.27430147,25.96343512,78.97020883,13.07895112,249.2624163,rice,rice
67.29822013,51.01539669,30.50264198,23.40430956,78.24199552,4.321856425,249.8347816,rice,rice
90.57162799,42.09083142,34.74514187,16.78078278,82.41792064,8.755819125,204.2489339,rice,rice
102.9073769,43.53750952,34.11966249,18.01696539,84.07440392,13.855424,294.3787423,rice,rice
175.2799969,45.18810296,52.94995856,22.73196712,74.37885158,9.085809527,281.2990891,rice,rice
82.44433186,51.01539669,50.17427089,25.96343512,86.47405599,9.981292987,188.3944137, rice ,rice
179.843815,27.3591397,44.77960729,16.90561801,78.19267578,6.666087083,191.2964973,rice,rice
72.1997204,146.7456022,21.66776398,19.07621683,70.0213263,0,84.91475737,maize,rice
189.2959741,40.05017995,16.3913028,27.83245596,74.17629869,1.723324251,101.6735625,maize,maize
81.61435526,44.66324225,15.95482066,25.96343512,74.6090978,3.892447657,65.20466978,maize,maize
73.16145185,66.82686877,17.11244544,32.51978084,57.81512965,0.230798346,62.51334962,maizn,maize
55.77405794,33.91965896,19.44412769,15.80193167,64.35899073,9.915444204,68.37086269,maizk,maize
61.94628763,51.11973537,14.44158159,25.96343512,61.03406837,14,96.35909189,maizj,maize
93.19673413,42.72438572,18.92797776,24.77132032,68.69838859,9.191371777,106.9132712,maize,maize
89.66993255,51.01539669,18.3771987,20.68658638,79.26894506,14,79.2821532,maize,maize
75.20330125,40.75215914,13.35398392,16.58500153,59.55231677,0.937405822,68.77819669, maize ,maize
65.78208578,55.09848023,24.27997124,27.01099559,61.84388993,5.428461262,113.1569744,maize,maize
74.00877126,39.48966751,18.06578291,21.04947372,67.19974339,11.90650396,96.30539446,maize,maize
81.48325541,55.02704437,14.39760919,21.89889896,70.28833308,2.108300379,73.20419199,maizr,maize
37.40668769,66.50423567,11.25254768,19.99772707,64.77864492,9.504114544,63.57581936,maize,maize
92.88611264,57.76328111,28.00163425,21.21723354,80.32869575,7.6126561,93.50183785,maize,maize
67.09946434,55.46873192,18.306002,26.06315619,65.95839167,6.666087083,67.72908499,maizu,maize
68.84434986,48.05736804,27.22639455,14.9807392,151.4488851,6.381308128,96.16730084,maize,maize
73.18627317,47.67857252,11.63623531,26.24980615,77.89295652,3.090571738,98.39942199,maize,maize
54.3340226,38.09855117,14.29826647,28.87229115,79.26894506,0,87.13054062,maize,maize
37.40668769,53.61874522,17.30359181,29.0573944,59.40273217,6.661218032,72.56352978, maize ,maize
72.55561538,52.36707476,27.25675558,17.38984124,64.03380924,0,84.70412825,maize,maize
89.65818138,56.28922237,20.60233937,27.52120832,64.30057539,14,91.99120734,maize,maize
105.0979325,53.7011926,14.21322421,19.76968479,75.2487169,7.168619415,87.80843728,maize,maize
78.90208337,51.01539669,32.27430147,21.15502699,77.46580629,12.72437075,81.14403527,maize,maize
78.74703282,38.46314068,23.99293579,24.60127661,61.17150221,7.81287549,70.88628754,maize,maize
102.0449476,47.15118103,12.75520224,21.36629457,72.1077455,3.324053857,67.73126312,maize,maize
74.64871748,59.97431044,10.49030601,24.71946242,64.31476857,8.449916275,91.33177711,maize,maize
95.45874268,33.98389735,17.63427464,31.31176034,62.09973645,14,101.1336634,maize,maize
81.38442397,51.32535407,17.53743426,15.49413166,75.42623294,1.991676153,104.3456116,maize,maize
75.32924992,46.04433452,20.41238984,26.05158171,59.48518351,12.63268924,96.16730084,maize,maize
86.43185805,50.10613407,23.504223,24.59997119,68.41458664,3.433498534,99.99967892,maizv,maize
88.3356003,42.38170231,32.27430147,21.75147788,60.63052035,1.554411393,57.08209823,maize,maize
56.62116414,48.28790721,12.84522018,14.45717498,79.26894506,9.130473218,95.0461704,maize,maize
80.20870865,51.01539669,32.27430147,21.17858393,69.6479946,5.670367036,66.27504643,maize,maize
61.99097064,28.63033416,24.06856702,16.49464649,64.61099454,0,68.32136993,maize,maize
37.40668769,51.01539669,23.75654824,23.58652805,80.69989077,13.92265121,107.7831783,maiza,maize
79.56239343,63.02675099,18.60941056,18.7171602,67.15789789,13.01926251,187.5267281,maize,maize
37.40668769,52.17751468,17.08244236,25.73712328,61.75403701,2.765525705,110.2096241,maize,maize
98.40220223,36.00385305,73.80795187,29.22321241,71.02618993,2.102948587,93.34861137,maize,maize
77.67145662,60.47177999,17.0160103,16.4634239,72.32608867,0.06810602,92.69285288,maize,maize
93.59049741,59.73444226,19.78653245,17.89084478,230.6840357,12.70615961,70.71770785,maizm,maize
66.32839561,48.80713801,26.00257151,25.86405276,76.30286699,0,76.38718216,maize,maize
78.08421009,47.61243741,18.14796798,25.96343512,54.87525336,6.378063759,63.25292505,maize,maize
86.62353444,64.5993587,14.4879703,22.9834713,58.78477945,6.645277822,100.4453531,maize,maize
74.38730846,52.50678266,22.77848863,23.23910161,68.55830711,6.788583705,110.2655765,maize,maize
90.74400466,44.30276428,19.22976054,25.68701442,73.70140301,6.479829919,67.29106032,maizt,maize
57.07703067,59.42962413,13.89553521,26.01912365,70.32829272,4.194096254,95.64819571,maize,maize
73.78144941,48.04985443,11.92331307,16.64539813,53.8987714,5.693503655,103.5703249,maize,maize
72.16144775,49.23496477,28.71050994,27.04393485,63.35267916,0,88.93902687,maize,maize
61.53608543,34.17723006,17.42881236,19.20141261,64.51332661,7.665849763,77.56609664,maize,maize
96.20208415,33.41437124,21.79060319,13.53048033,63.24989126,6.616061435,69.63755097,maize,maize
70.83909799,34.10793239,32.27430147,22.10779471,46.82069304,10.15709605,94.63107766,maize,maize
81.79098616,53.08399716,24.38273009,16.71302282,65.93213623,5.349459428,70.20989793,maize,maize
62.48282177,46.7952137,8.452966196,19.28114585,66.24816634,6.666087083,70.91727853,maize,maize
90.55411666,47.66285305,32.27430147,26.2965182,79.26894506,7.880582388,96.16730084,maize,maize
85.69930726,45.73730552,20.6857951,15.19543364,60.07158802,12.13111569,97.57171719,maize,maize
86.95295716,39.76648637,14.94765592,27.99829087,55.84686605,7.598914229,98.59797535,maize,maize
69.00936813,60.93538804,21.01860025,20.18651096,79.26894506,4.222266027,103.8261091,maize,maize
65.52127588,118.5745211,28.6881782,23.16955524,66.30537638,3.077236775,96.16730084,maize,maize
71.40033942,31.1995097,15.1696671,21.46851422,70.08770824,5.065566172,76.29533716,maize,maize
72.34206632,53.71839191,15.8880595,21.36823359,49.39757875,13.90187959,90.1048772,maize,maize
37.40668769,198.219696,81.04337756,17.0322087,63.75799559,8.480931203,91.96843435,maiza,maize
37.40668769,50.61586018,9.833014551,16.70206662,66.64743954,1.61058007,73.09275873,maize,maize
89.86960372,40.51801561,19.61611333,34.84295079,80.90728303,13.33329388,73.14688594,maize,maize
75.10558008,51.36385691,20.09258654,19.91771221,70.52389846,0.300758451,91.94449616,maize,maize
69.39328192,56.94345189,15.73397988,23.12521731,66.63818766,0,98.77089227,maize,maize
81.04853084,38.42568456,26.45073503,15.61728818,79.26894506,6.662373053,84.45316367,maize,maize
69.47914552,43.43335647,26.14787977,25.63221769,76.61576734,7.894616382,102.2691211,maize,maize
65.40905778,42.53465824,16.65222755,19.86185725,66.70736374,7.712725757,66.59693873,maize,maize
95.46741875,55.1410888,31.95591584,25.62891653,58.5336819,0.684718612,78.51691161,maize,maize
93.64089787,29.47017394,16.48029433,22.85896529,71.0532496,0,78.96567364,maize,maize
63.79634495,49.29759139,15.37367923,30.54818818,181.867272,5.081175172,94.42640082,maize,maize
86.51343799,38.05759391,12.43877693,14.30161944,58.19928074,5.227782931,65.27374371,maizz,maize
92.5939491,51.01539669,32.27430147,20.91629087,68.29162154,11.08332516,96.78112754,maize,maize
76.4420589,39.10956518,25.60549214,18.42729751,50.0201702,3.726449917,65.46479466,maize,maize
78.94542765,57.68455114,14.24053512,29.09906059,62.10816919,6.912638972,76.12612246,maize,maize
73.04434371,33.89200198,19.12240961,13.08546198,59.91433235,7.884934011,88.62147329,maize,maize
75.41133874,51.52301331,32.27430147,14.96467638,56.78061745,4.431554201,98.40102602,maizz,maize
67.28455778,51.10863037,11.08798282,16.50024468,74.14250511,8.355281807,96.16730084,maize,maize
37.40668769,43.28495225,20.37860479,20.64380285,72.7703751,4.799109056,80.96194235,maize,maize
92.0734008,49.37850312,23.7895127,31.99089689,69.8992639,6.587289593,101.9894619,maize,maize
81.79975127,39.04676013,15.31698008,11.71037703,57.85421282,7.338322973,103.6434394,maize,maize
60.61054869,54.65942914,17.51618692,15.49499545,60.84495589,5.145784835,73.40376174,maize,maize
77.63187395,53.32612189,15.22772442,27.80653559,59.7454993,2.70696372,83.93071585,maize,maize
61.32525658,53.52919247,12.66038591,17.85393638,59.01418906,11.0098254,107.2589004,maize,maize
83.5702593,47.57171522,15.44156253,28.27069736,62.25265627,14,61.65321161,maize,maize
71.90567362,59.73852173,20.86360242,29.22437303,67.430132,7.346633369,103.6726096, maize ,maize
72.19111791,32.28759973,24.15866774,28.82049527,66.81318337,10.91127647,67.25535202,maize,maize
81.57162529,62.64382609,32.27430147,22.1116692,69.2172058,4.975155796,59.80828108, maize ,maize
94.39427752,58.30455395,32.27430147,19.01999794,75.6021361,0,72.04100741,maize,maize
77.11366312,52.40514084,15.67655628,27.34384332,66.47886698,10.24730004,101.3972744,maize,maize
91.04105436,56.10105258,14.62441952,20.18412257,80.65721595,9.337306126,74.84233128,maize,maize
37.40668769,48.93312974,87.26438587,36.2747625,75.69227581,0,76.62202743,maize,maize
87.75402609,43.51635448,19.66461175,18.3991361,64.08724166,0.577191927,96.98830502,maize,maize
73.17866335,60.26321142,20.01937417,21.07794799,67.00835484,6.33267958,83.96698012,maize,maize
95.72492504,61.53678089,22.45912474,20.58896314,65.96762909,0,77.02718134,maize,maize
77.35111104,31.34814843,26.56282806,21.82332054,65.25233459,10.87445124,117.6475519,maizt,maize
56.65558574,51.01539669,28.368647,18.3350814,71.46778797,0.573618291,96.16730084,maizi,maize
89.97970496,53.71905445,32.27430147,20.16235847,61.96400717,5.823191727,70.27681479,maize,maize
84.04828499,51.01539669,12.22089131,28.43897165,64.07609184,4.333952228,95.31516535,maize,maize
45.05884845,69.83208976,32.27430147,17.4976518,11.77427108,10.45372134,95.42092651,chickpea,maize
26.81173061,71.40591769,87.92704067,25.96343512,16.02877701,8.936298694,82.39084509,chickpea,maize
40.18677566,58.19183491,83.09953447,25.96343512,12.02665135,0,66.3350274,chickpea,chickpea
20.75484108,70.53465249,90.46265801,20.61914167,17.46236645,0,83.52551255,chickpea,chickpea
36.02714716,71.64391937,79.11565306,17.49246676,22.34744472,3.229011106,76.9653359,chickpea,chickpea
37.65435855,75.78683236,78.21581259,23.12640366,14.07998421,0,98.03645981,chickpea,chickpea
57.59700617,71.68909904,87.19312062,25.25111965,23.00564412,6.850349406,76.83696735,chickpea,chickpea
55.46694841,68.21036715,85.17609618,17.23469485,79.26894506,0,80.41660129,chickpea,chickpea
37.44530957,65.68839329,75.85003579,16.91723024,26.34890853,7.461644695,81.62358606,chickpea,chickpea
24.61399757,74.64513421,81.17941307,7.321984824,12.2350722,2.7328319,83.17228963,chickpea,chickpea
37.40668769,68.25032445,78.19461654,15.33247036,15.21153661,12.91094247,91.53295182,chickpea,chickpea
45.98415449,193.1958727,77.61842818,19.99414505,20.14649707,9.123138118,89.16388256,chickpea,chickpea
57.4089275,52.76186815,82.49416157,28.91957733,14.54448055,7.056389231,77.50495181,chickpex,chickpea
28.63653427,66.6197906,86.0987013,11.65780797,12.74057775,6.666087083,82.63590416,chickpea,chickpea
27.66010403,58.22644083,75.98225601,32.25483856,19.51673215,0,71.00943842,chickpea,chickpea
36.44912516,74.68263353,87.01037993,25.52052593,24.81080145,0.835547703,62.54644201,chickpea,chickpea
37.40668769,55.92806865,79.23949414,25.49774583,20.04653369,14,68.87099941,chickpea,chickpea
32.82357612,73.0836144,82.50523069,16.20847866,6.30865192,11.30492132,84.47129591,chickpea,chickpea
24.10400033,79.64061168,76.18650622,25.96343512,13.92132707,0,73.55418149,chickpea,chickpea
24.24370468,63.87555623,69.9248526,25.96343512,14.86398239,0,85.52890948,chickpea,chickpea
22.70492208,78.11453002,82.55500802,16.40256471,27.78890127,14,72.33748058, chickpea ,chickpea
24.81568855,51.01539669,78.82664252,9.0353405,47.85618199,5.899460013,81.9599867,chickpek,chickpea
34.33984296,76.89986473,75.70883891,11.75699817,79.26894506,10.37521142,86.85745419,chickpea,chickpea
60.4064834,61.88882365,81.13930932,9.884324511,13.27353733,13.25406263,84.09789904,chickpea,chickpea
175.1109819,63.54883265,83.68066816,21.61365457,17.09218732,6.976021078,65.9658977,chickpea,chickpea
12.00489368,51.01539669,77.39140708,13.09491334,16.17278457,3.204351762,73.74284133,chickpea,chickpea
39.92714788,53.12822606,78.6557829,17.67360713,17.3205822,4.01420743,71.65601804,chickpea,chickpea
55.16937481,54.6368634,85.04428524,19.30466305,15.64560157,3.059185807,94.50211027,chickpea,chickpea
48.52110273,77.68295685,83.66301743,25.96343512,17.63411758,0,79.66610151,chickped,chickpea
37.40068638,67.90667398,81.39444565,22.34547642,20.31145173,2.123573894,76.9678599,chickpea,chickpea
23.43843788,70.2836541,85.63810028,9.642222738,8.840002966,3.428460153,82.18992512,chickpea,chickpea
47.98009499,81.06265756,88.02065,17.14026144,79.26894506,3.62036014,72.27933492,chickpea,chickpea
34.55023249,59.79719392,77.41393347,20.46950077,11.13539817,14,95.58391562,chickpea,chickpea
28.93052354,79.7975908,62.41250629,16.0335793,18.18636337,13.65735918,76.03093398,chickpea,chickpea
33.43431763,86.36365568,79.45936669,17.64643793,20.85533435,5.313857454,89.30613245,chickpea,chickpea
26.61854848,52.48187709,81.38467332,25.95940723,22.41802797,3.96383135,94.91433693,chickpea,chickpea
56.04822222,53.82023812,80.2037595,21.58744244,79.26894506,8.479152585,76.81219454,chickpeq,chickpea
48.86637817,46.45983733,78.58675094,22.31611623,22.05295893,9.458850582,79.27505432,chickpea,chickpea
37.40668769,77.11333686,72.62171761,13.78761063,18.03938328,10.70786757,90.96377089,chickpea,chickpea
60.89420702,59.05048208,78.63261042,24.20375966,79.26894506,7.121641052,81.65675482,chickpea,chickpea
31.94025833,71.95681707,79.91473991,16.0582909,23.39887248,1.988696929,78.79905728,chickpea,chickpea
63.4495302,50.98421993,83.38372768,25.96343512,15.56288767,7.088878614,76.85790517,chickpea,chickpea
32.39648391,80.57303355,71.95132905,7.943715387,21.39950222,12.99128222,61.67201119,chickpea,chickpea
59.14650807,66.52645914,83.00083339,19.44785507,14.04605905,12.00579957,72.24221273,chickpea,chickpea
31.94301318,60.57641362,78.14690782,23.08754922,16.58132353,4.73421663,87.88353777,chickpea,chickpea
29.88398746,60.08138484,74.39666854,27.14716152,9.157003958,14,79.86773127,chickpea,chickpea
53.47515366,54.94249216,86.90540839,24.19638641,20.64888779,14,72.01026838,chickpea,chickpea
34.53300472,82.44885532,87.21587068,14.57264668,8.714245969,8.304956832,89.3743343,chickpea,chickpea
58.24421489,70.94431061,86.65582142,13.87622632,15.30879839,2.382859718,85.17463238,chickpea,chickpea
51.24004762,74.15222897,75.82610192,15.86600263,10.1079673,2.325001376,77.21932226,chickpea,chickpea
52.09941307,80.39405401,75.44074849,25.96343512,19.09556439,0,83.54265777,chickpea,chickpea
39.67138849,81.48643873,79.12859042,18.77374629,79.26894506,7.204900806,70.75958089,chickpea,chickpea
37.40668769,57.28231621,80.57907025,25.96343512,13.14472849,9.470181096,77.32791175,chickpea,chickpea
34.35688281,80.04819498,76.18158377,19.3659968,7.320265875,7.243611248,69.85758679,chickpea,chickpea
61.59458014,59.24722354,77.59776966,14.16137765,18.04404827,10.60936011,83.20246225,chickpea,chickpea
48.94270256,70.21561356,78.02440093,11.75452449,13.68842947,13.8459216,79.57772586,chickpeg,chickpea
38.73115889,58.75351694,90.25344675,24.16251932,14.21078282,14,84.15393883,chickpea,chickpea
51.88977415,69.72505657,79.73099263,14.70698014,20.82562493,7.448530992,82.59286704,chickpea,chickpea
58.30563243,76.29986604,94.03437667,17.92143473,12.46371269,14,69.31941492,chickpea,chickpea
23.0782534,65.40075544,78.01276044,17.90625506,14.05688329,7.967591582,76.37092673,chickpea,chickpea
24.18570166,51.01539669,92.810551,20.69147601,22.73397987,0.068557749,88.99386715,chickpea,chickpea
49.74274985,69.80751042,80.9620079,16.35656658,16.47927884,11.78701351,89.05356868,chickpea,chickpea
59.02699878,78.13271562,87.68216707,21.60308999,16.86100459,2.176306031,88.07963313,chickpea,chickpea
16.04534389,66.49549132,86.75197203,17.94366705,12.05011025,0,82.24440538,chickpea,chickpea
37.40668769,73.85426405,73.46480926,14.1460805,79.26894506,6.520330059,89.04213506,chickpea,chickpea
26.3824386,73.89362096,71.60933612,21.61518953,79.26894506,0.923598036,85.10837896,chickpea,chickpea
35.86039417,64.65854039,77.63952826,13.53814227,25.40499654,1.964178882,83.32596312,chickpea,chickpea
41.54057625,66.78097761,83.71148447,16.65140356,16.93852716,10.30745838,58.19720897,chickpea,chickpea
54.97543312,173.7844954,79.58472085,25.96343512,12.94853427,13.11849722,96.26258367,chickpea,chickpea
29.49587497,75.02963908,77.1234673,28.36049875,17.41870988,9.562982524,57.22345316,chickpec,chickpea
42.9421669,73.06029425,77.73230758,26.62592245,26.9304815,3.18628618,65.6557312,chickpea,chickpea
37.40668769,79.84843119,32.27430147,25.96343512,20.53587419,7.588645202,70.5848876,chickpea,chickpea
22.23197742,63.05189781,80.8418587,15.21979806,79.26894506,14,96.16730084,chickpea,chickpea
33.49403393,70.86498349,82.66551134,9.341518378,23.51907207,9.849998211,60.14698285,chickpem,chickpea
49.26315968,55.1545307,71.46909125,17.26372605,18.44532723,9.450592913,89.93002489,chickpea,chickpea
31.89687185,74.35877488,79.42711218,16.16496923,79.26894506,1.03436715,76.38525343,chickpea,chickpea
30.37283567,64.07265825,82.07595328,20.29692792,17.14189482,0,81.93691948, chickpea ,chickpea
37.48866067,81.80192476,75.32873579,27.05371325,27.24946778,1.375762616,64.7671856,chickpea,chickpea
43.4361699,51.01539669,77.29061921,8.81770588,79.26894506,5.545299547,81.74924945,chickpea,chickpea
35.84772528,77.38343454,79.36177961,17.82932097,6.60543651,8.329455087,70.8787294,chickpea,chickpea
52.68255894,71.77918829,84.03379903,21.90367584,79.26894506,14,255.1499014,chickpea,chickpea
52.63621032,76.11834593,76.81111894,22.35026596,25.87744536,14,69.92415584,chickpea,chickpea
37.94567753,52.597298,93.00817257,28.63995652,20.67943621,12.27130011,82.31945352,chickpea,chickpea
57.35488277,65.64662448,77.80370976,20.27870919,19.47608947,14,67.03627322,chickpea,chickpea
56.56226925,55.18845433,78.56008137,20.51364546,10.21561857,0,80.61903149, chickpea ,chickpea
34.67252692,51.01539669,76.6222664,16.5423297,8.536047977,6.666087083,84.32424538,chickpea,chickpea
32.03700035,51.01539669,80.35581453,15.84055288,22.73299447,3.399348502,62.98049844,chickpea,chickpea
37.01449498,51.39335519,84.68349546,19.97521962,79.26894506,13.10942834,73.00781124,chickpea,chickpea
43.39479022,60.82900828,84.5786844,15.1531839,10.27765398,14,87.77491295,chickpea,chickpea
