N,P,K,temperature,humidity,ph,rainfall,label,npk_total,npk_balance_score,climate_zone,ph_level,rainfall_category,growing_conditions_score
93.0,56.0,36.0,24.01497622,82.05687182,6.98435366,185.2773389,rice,185.0,0.6807520148404174,Cool_Humid,Neutral,Medium,85.81679665970944
94.0,50.0,37.0,25.66585205,80.66385045,6.94801983,209.5869708,rice,181.0,0.668844792836967,Hot_Humid,Neutral,Medium,86.36767206706901
60.0,48.0,39.0,24.28209415,80.30025587,7.042299069,231.0863347,rice,147.0,0.8230362297424524,Cool_Humid,Neutral,Medium,89.56345567512378
85.0,38.0,41.0,21.58711777,82.7883708,6.249050656,276.6552459,rice,164.0,0.6750730175686416,Cool_Humid,Acidic,High,79.8823586555926
91.0,35.0,39.0,23.79391957,80.41817957,6.970859754,206.2611855,rice,165.0,0.6377477165937219,Cool_Humid,Neutral,Medium,85.27351644334695
77.0,38.0,36.0,21.8652524,80.1923008,5.953933276,224.5550169,rice,151.0,0.6852829022709077,Cool_Humid,Acidic,Medium,80.36481572431924
88.0,35.0,40.0,23.57943626,83.58760316,5.85393208,291.2986618,rice,163.0,0.6499474114407293,Cool_Humid,Acidic,High,80.05209388806733
89.0,45.0,36.0,21.32504158,80.47476396,6.442475375,185.4974732,rice,170.0,0.6664515384997953,Cool_Humid,Acidic,Medium,80.97608899868821
76.0,40.0,43.0,25.15745531,83.11713476,5.070175667,231.3843163,rice,159.0,0.7262762776604882,Hot_Humid,Acidic,Medium,80.47622066664933
67.0,59.0,41.0,21.94766735,80.97384195,6.012632591,213.3560921,rice,167.0,0.8069583244697695,Cool_Humid,Acidic,Medium,82.80626976901078
83.0,41.0,43.0,21.0525355,82.67839517,6.254028451,233.1075816,rice,167.0,0.7014524863100905,Cool_Humid,Acidic,Medium,79.82852546493808
98.0,47.0,37.0,23.48381344,81.33265073,7.375482851,224.0581164,rice,182.0,0.6496569633540252,Cool_Humid,Neutral,Medium,83.55091647062996
66.0,53.0,41.0,25.0756354,80.52389148,7.778915154,257.0038865,rice,160.0,0.810085570755031,Hot_Humid,Alkaline,High,87.35838160707864
97.0,59.0,43.0,26.35927159,84.04403589,6.286500176,271.3586137,rice,199.0,0.7051472083140766,Hot_Humid,Acidic,High,82.59897541267713
97.0,50.0,41.0,24.52922681,80.54498576,7.070959995,260.2634026,rice,188.0,0.6757329748152034,Cool_Humid,Neutral,High,86.71746243780957
60.0,49.0,44.0,20.77576147,84.49774397,6.244841491,240.0810647,rice,153.0,0.8616996877010675,Cool_Humid,Acidic,Medium,81.96878054686749
84.0,51.0,35.0,22.3,80.64416466,6.043304899,197.9791215,rice,170.0,0.6939908858855328,Cool_Humid,Acidic,Medium,81.2060630921612
73.0,57.0,41.0,21.44653958,84.94375962,5.824709117,272.2017204,rice,171.0,0.7808219178082192,Cool_Humid,Acidic,High,79.4841416359556
92.0,35.0,40.0,22.17931888,80.33127223,6.357389366,200.0882787,rice,167.0,0.6381493032898272,Cool_Humid,Acidic,Medium,81.18648757784051
85.0,37.0,39.0,24.52783742,82.73685569,6.364134968,224.6757231,rice,161.0,0.6640225442445372,Cool_Humid,Acidic,Medium,83.6210416729567
98.0,0.0,38.0,20.26707606,81.63895217,5.01450727,270.4417274,rice,136.0,0.4784864880587761,Cool_Humid,Acidic,High,70.39957858042827
88.0,54.0,44.0,25.7354293,83.88266234,6.149410611,233.1321372,rice,186.0,0.728853332808219,Hot_Humid,Acidic,Medium,83.39416981127428
95.0,55.0,42.0,26.79533926,82.1480873,5.950660556,193.3473987,rice,192.0,0.6985187229020579,Hot_Humid,Acidic,Medium,81.4729082823049
99.0,57.0,32.0,26.75754171,81.17734011,5.960370061,272.2999056,rice,188.0,0.6492326202645408,Hot_Humid,Acidic,High,80.94058439697213
95.0,39.0,36.0,23.86330467,83.15250801,5.561398642,285.2493645,rice,170.0,0.6303427727092826,Cool_Humid,Acidic,High,79.1232252153285
60.0,43.0,44.0,21.01944696,82.95221726,7.416245107,298.4018471,rice,147.0,0.8370431996994357,Cool_Humid,Neutral,High,83.57291173197773
63.0,44.0,41.0,24.17298839,83.7287574,5.583370042,257.0343554,rice,148.0,0.8052622348940847,Cool_Humid,Acidic,High,82.85006982796959
62.0,42.0,36.0,22.78133816,82.06719137,6.430010215,248.7183228,rice,140.0,0.7741600602350325,Cool_Humid,Acidic,Medium,84.2208248200523
64.0,45.0,43.0,25.62980105,83.52842314,5.534878156,209.9001977,rice,152.0,0.8138322470967359,Hot_Humid,Acidic,Medium,83.16198907534131
83.0,60.0,36.0,25.59704938,80.14509262,6.903985986,200.834898,rice,179.0,0.7174195754804662,Hot_Humid,Neutral,Medium,87.46398943767527
82.0,40.0,40.0,23.83067496,84.81360127,6.271478838,298.5601175,rice,162.0,0.6901072119750553,Cool_Humid,Acidic,High,82.17647702556705
85.0,52.0,45.0,26.31355498,82.36698992,7.224285503,265.5355937,rice,182.0,0.7395792074243092,Hot_Humid,Neutral,High,85.73468701122245
91.0,35.0,38.0,24.8972823,80.52586088,6.13428721,183.6793207,rice,164.0,0.6344196615648612,Cool_Humid,Acidic,Medium,83.50181564459393
76.0,49.0,42.0,24.958779,84.47963372,5.206373153,196.9560008,rice,167.0,0.7561319173065946,Cool_Humid,Acidic,Medium,81.17519616289015
74.0,39.0,38.0,23.24113501,84.59201843,7.782051313,233.0453455,rice,151.0,0.7105678469835001,Cool_Humid,Alkaline,Medium,81.77228684425243
79.0,43.0,39.0,21.66628296,80.70960551,7.062779015,210.8142087,rice,161.0,0.7089673689344059,Cool_Humid,Neutral,Medium,83.91252019744636
88.0,55.0,45.0,24.63544858,80.41363018,7.730367824,253.7202781,rice,188.0,0.7357961346845511,Cool_Humid,Alkaline,High,85.74168517540531
60.0,36.0,43.0,23.43121862,83.06310136,5.286203711,219.9048349,rice,139.0,0.7896515105472165,Cool_Humid,Acidic,Medium,80.84244484587839
76.0,60.0,39.0,20.0454142,80.3477562,6.766240045,208.5810155,rice,175.0,0.7586639554674945,Cool_Humid,Neutral,Medium,82.48993601336088
93.0,56.0,42.0,23.85724032,82.22572988,7.382762603,195.0948311,rice,191.0,0.7072748151324967,Cool_Humid,Neutral,Medium,84.78189466714443
65.0,60.0,43.0,21.97199397,81.89918197,5.658169482,227.3637009,rice,168.0,0.829229601964181,Cool_Humid,Acidic,Medium,81.6590475802067
95.0,52.0,36.0,26.22916897,83.83625819,0.0,286.5083725,rice,183.0,0.6665771150925206,Hot_Humid,,High,59.611824849388874
75.0,38.0,39.0,23.44676801,84.79352417,6.215109715,283.9338466,rice,152.0,0.7061961608852382,Cool_Humid,Acidic,High,81.8439713288806
74.0,54.0,38.0,25.65553461,83.47021081,7.120272972,217.3788583,rice,166.0,0.7541649542137728,Hot_Humid,Neutral,Medium,86.76318398908865
91.0,36.0,45.0,24.44345477,82.45432595,5.950647577,267.9761948,rice,172.0,0.6602579745247235,Cool_Humid,Acidic,High,82.07641570103293
71.0,46.0,40.0,20.2801937,82.1235421,7.236705436,191.9535738,rice,157.0,0.7609337584701569,Cool_Humid,Neutral,Medium,82.12355332149106
99.0,55.0,35.0,21.7238313,80.2389895,6.501697816,277.9626192,rice,189.0,0.6580224720359484,Cool_Humid,Neutral,High,81.58824653588381
72.0,40.0,38.0,20.41447029,82.20802629,7.592490617,245.1511304,rice,150.0,0.7238112352916921,Cool_Humid,Alkaline,Medium,80.23907948597669
83.0,58.0,45.0,25.75528612,83.51827127,5.875345751,245.6626799,rice,186.0,0.762483753736291,Hot_Humid,Acidic,Medium,83.20429738594561
93.0,58.0,38.0,20.61521424,83.77345559,6.932400225,279.5451717,rice,189.0,0.6935360756758119,Cool_Humid,Neutral,High,81.1469909913514
70.0,36.0,42.0,21.84106875,80.72886384,6.946209881,202.3838319,rice,148.0,0.7310713150697365,Cool_Humid,Neutral,Medium,84.58903821815296
76.0,47.0,42.0,20.08369642,83.29114712,5.739175027,263.6372176,rice,165.0,0.7497523116489136,Cool_Humid,Acidic,High,77.55747902022003
99.0,41.0,36.0,24.45802087,82.74835604,6.738652179,182.5616319,rice,176.0,0.6262072116100132,Cool_Humid,Neutral,Medium,84.11409341658488
99.0,54.0,37.0,21.14347496,80.33502926,5.594819626,198.6730942,rice,190.0,0.664081843979032,Cool_Humid,Acidic,Medium,77.73721731894328
86.0,59.0,35.0,25.78720567,82.11124033,6.946636369,243.5120414,rice,180.0,0.7016337407050631,Hot_Humid,Neutral,Medium,86.31619733290347
69.0,46.0,41.0,23.64124821,80.28597873,5.012139669,263.1103304,rice,156.0,0.7768941575173155,Cool_Humid,Acidic,High,80.92865723174192
91.0,56.0,37.0,23.43191632,80.56887849,6.363472208,269.5039162,rice,184.0,0.6912702808182822,Cool_Humid,Acidic,High,83.68236146904697
61.0,52.0,41.0,24.97669518,83.891805,6.880431223,204.8001847,rice,154.0,0.8367293387978105,Cool_Humid,Neutral,Medium,89.01351079937379
67.0,45.0,38.0,22.72791041,82.1706881,7.300410836,260.8875056,rice,150.0,0.767663012980591,Cool_Humid,Neutral,High,84.94974610106236
79.0,42.0,37.0,24.87300744,82.84022551,6.587918708,295.6094492,rice,158.0,0.6965695841012463,Cool_Humid,Neutral,High,85.44565651387109
78.0,43.0,42.0,21.32376327,83.00320459,7.283736617,192.3197536,rice,163.0,0.7260381877831773,Cool_Humid,Neutral,Medium,82.17162516125696
75.0,54.0,36.0,26.29465461,84.56919326,7.023936392,257.4914906,rice,165.0,0.7380646099557971,Hot_Humid,Neutral,High,85.59560676052254
97.0,36.0,45.0,22.2286982,81.85872947,6.939083505,278.0791793,rice,178.0,0.6430922742567338,Cool_Humid,Neutral,High,82.83459769518961
67.0,47.0,44.0,26.73072391,81.78596776,7.868474653,280.4044392,rice,158.0,0.8081428115044575,Hot_Humid,Alkaline,High,84.52815090264959
73.0,35.0,38.0,24.88921174,81.97927117,5.005306977,185.9461429,rice,146.0,0.6972974220212358,Cool_Humid,Acidic,Medium,80.15860996331483
77.0,36.0,37.0,26.88444878,81.46033732,6.136131869,194.5766559,rice,150.0,0.6813100069878905,Hot_Humid,Acidic,Medium,81.94871930952705
81.0,41.0,38.0,22.67846116,83.72874389,7.524080076,200.9133156,rice,160.0,0.6895932566883978,Cool_Humid,Alkaline,Medium,81.93094093400973
68.0,57.0,43.0,26.08867875,80.37979919,5.706943251,182.9043504,rice,168.0,0.8171607959637686,Hot_Humid,Acidic,Medium,84.50343422064901
72.0,45.0,35.0,25.42977518,82.94682591,5.758506323,195.3574542,rice,152.0,0.7258158555191094,Hot_Humid,Acidic,Medium,82.66405555509648
61.0,53.0,43.0,26.40323239,81.05635517,6.349606327,223.3671883,rice,157.0,0.8530035845984376,Hot_Humid,Acidic,Medium,86.87783705830941
67.0,43.0,39.0,26.04371967,84.96907151,5.999969026,186.7536773,rice,149.0,0.7663376496899277,Hot_Humid,Acidic,Medium,82.82233807771064
67.0,58.0,39.0,25.2827223,80.54372813,5.453592032,220.1156708,rice,164.0,0.7927164313882574,Hot_Humid,Acidic,Medium,84.01381929468822
66.0,60.0,38.0,22.08576562,83.47038318,6.372576327,231.7364957,rice,164.0,0.7876031692422341,Cool_Humid,Acidic,Medium,82.9101897659326
82.0,43.0,38.0,23.28617173,81.43321641,5.105588355,242.3170629,rice,163.0,0.6928200545638137,Cool_Humid,Acidic,Medium,78.71358344227627
84.0,50.0,44.0,25.48591986,81.40633547,5.935344406,182.6549356,rice,178.0,0.7333711428061257,Hot_Humid,Acidic,Medium,83.97184859005658
81.0,53.0,42.0,23.67575393,81.03569343,5.17782304,233.7034975,rice,176.0,0.7447398794005783,Cool_Humid,Acidic,Medium,80.63035305071486
91.0,50.0,40.0,20.82477109,84.1341879,6.462391607,230.2242223,rice,181.0,0.6906445210590526,Cool_Humid,Acidic,Medium,79.52328271571952
93.0,53.0,38.0,26.92995077,81.91411159,7.069172227,290.6793783,rice,184.0,0.6832690891804889,Hot_Humid,Neutral,High,84.59696965713725
90.0,44.0,38.0,23.83509503,83.88387074,7.473134377,241.2013513,rice,172.0,0.6683599665548842,Cool_Humid,Neutral,Medium,83.01652052726251
81.0,45.0,35.0,26.52872817,80.12267476,6.158376967,218.9163567,rice,161.0,0.689268422568833,Hot_Humid,Acidic,Medium,83.12868473171733
78.0,40.0,38.0,26.46428311,83.85642678,7.549873681,248.2256491,rice,156.0,0.6976227333165742,Hot_Humid,Alkaline,Medium,82.97900852086994
60.0,51.0,36.0,22.69657794,82.81088865,6.028321558,256.9964761,rice,147.0,0.8016444423264751,Cool_Humid,Acidic,High,82.94816043606798
88.0,46.0,42.0,22.68319059,83.46358271,6.604993475,194.2651719,rice,176.0,0.6971786385108252,Cool_Humid,Neutral,Medium,82.65128592354617
93.0,47.0,37.0,21.53,82.14004101,14.0,295.9248796,rice,177.0,0.6639182025021115,Cool_Humid,Alkaline,High,57.52204058465762
60.0,55.0,45.0,21.40865769,83.3293191,5.935745417,287.5766935,rice,160.0,0.8747333776285274,Cool_Humid,Acidic,High,82.33440944018594
78.0,35.0,44.0,26.54348085,84.67353597,7.072655622,183.6222657,rice,157.0,0.6976638112231116,Hot_Humid,Neutral,Medium,84.27487023633036
65.0,37.0,40.0,23.35905428,83.59512273,5.333322606,188.413665,rice,142.0,0.7548397043456829,Cool_Humid,Acidic,Medium,80.0232696778587
71.0,54.0,16.0,22.61359953,63.69070564,5.749914421,87.75953857,maize,141.0,0.6253304964753531,Cool_Dry,Acidic,Low,84.67476325808948
61.0,44.0,17.0,26.10018422,71.57476937,6.931756558,102.2662445,maize,122.0,0.6469891562772794,Hot_Humid,Neutral,Low,88.84707803297417
80.0,43.0,16.0,23.55882094,71.59351368,6.657964753,66.71995467,maize,139.0,0.590509785150128,Cool_Humid,Neutral,Low,86.32325957743112
73.0,58.0,21.0,19.97215954,57.68272924,6.596060648,60.65171481,maize,152.0,0.6543454208430893,Cool_Dry,Neutral,Low,82.79652441431233
61.0,38.0,20.0,18.47891261,62.69503871,5.970458434,65.43835393,maize,119.0,0.658724148890346,Cool_Dry,Acidic,Low,80.78572037244427
68.0,41.0,16.0,21.77689322,57.80840636,6.158830619,102.0861694,maize,125.0,0.6157052264736042,Cool_Dry,Acidic,Low,82.67620247891165
93.0,41.0,17.0,25.6217169,66.50415474,6.047906679,105.4654703,maize,151.0,0.5643796073044564,Hot_Dry,Acidic,Low,86.56267752295726
89.0,60.0,19.0,25.19192419,66.6902901,5.913664501,78.06639649,maize,168.0,0.6142303295167324,Hot_Dry,Acidic,Low,87.52441634612586
76.0,44.0,17.0,20.41683147,62.5542482,5.855442401,65.27798457,maize,137.0,0.6072537061205666,Cool_Dry,Acidic,Low,81.61689240646629
67.0,60.0,32.0,24.92162194,66.78627406,5.750254943,109.2162279,maize,159.0,0.741048768692229,Cool_Dry,Acidic,Low,89.57651801365778
70.0,44.0,19.0,23.31689124,73.4541537,5.852607099,94.29712821,maize,133.0,0.6348300152165,Cool_Humid,Acidic,Low,83.3274404261212
90.0,49.0,21.0,24.84,68.3584573,6.472523287,74.05474936,maize,160.0,0.605806997351267,Cool_Dry,Acidic,Low,88.74858019730007
62.0,52.0,16.0,22.27526694,58.84015925,6.967057762,63.87020584,maize,130.0,0.6417186552575217,Cool_Dry,Neutral,Low,87.07787306391967
92.0,44.0,16.0,18.87751445,65.76816093,6.082973754,94.76189431,maize,152.0,0.568631838156007,Cool_Dry,Acidic,Low,80.45511385586738
66.0,54.0,21.0,25.19008683,60.2001687,5.919045532,72.12375573,maize,141.0,0.6685408531892448,Hot_Dry,Acidic,Low,87.43607223481786
63.0,58.0,22.0,18.25405352,55.28220433,6.204747653,63.72358154,maize,143.0,0.6806140306076787,Cool_Dry,Acidic,Low,78.93934416335136
70.0,47.0,17.0,24.6129118,70.4162444,6.600827017,104.1626147,maize,134.0,0.6269569095448901,Cool_Humid,Neutral,Low,88.56584363139231
61.0,41.0,17.0,25.1420613,65.26185135,6.021902237,76.68456006,maize,119.0,0.6429275256280451,Hot_Dry,Acidic,Low,89.09415859844002
66.0,53.0,19.0,23.09348056,60.1159381,6.033550195,65.49730729,maize,138.0,0.6546242166633485,Cool_Dry,Acidic,Low,85.47456921268456
74.0,55.0,19.0,18.05033737,62.89366992,6.28886807,84.23613484,maize,148.0,0.6384722464295652,Cool_Dry,Acidic,Low,81.07996592588802
77.0,57.0,32.0,24.9321581,73.80435276,6.550563823,79.74078719,maize,166.0,0.7104985908128887,Cool_Humid,Neutral,Low,89.13714280960941
99.0,50.0,15.0,18.14710054,71.09445342,5.573286437,88.07753741,maize,164.0,0.5643846008103703,Cool_Humid,Acidic,Low,75.6247865359107
74.0,56.0,22.0,18.28362235,66.65952796,6.829199275,80.97573281,maize,152.0,0.657379141266596,Cool_Dry,Neutral,Low,83.83964707143082
83.0,45.0,21.0,18.83344471,58.75082029,5.716222912,79.7532896,maize,149.0,0.6137066831383454,Cool_Dry,Acidic,Low,77.88581848564601
100.0,48.0,16.0,25.71895816,67.22190688,5.54990242,74.51490791,maize,164.0,0.563216009197103,Hot_Dry,Acidic,Low,84.36807089413985
79.0,51.0,16.0,25.33797709,68.49835977,6.586244581,96.46380213,maize,146.0,0.6065786912175081,Hot_Dry,Neutral,Low,88.90278040288862
94.0,39.0,18.0,23.89114571,57.48775781,5.893093135,102.8301942,maize,151.0,0.5618787761706608,Cool_Dry,Acidic,Low,83.06438765261102
75.0,49.0,15.0,21.53574127,71.50905983,5.918263801,102.4852929,maize,139.0,0.6062819372421736,Cool_Humid,Acidic,Low,81.60170015098633
78.0,48.0,22.0,23.08974909,0.0,5.588650585,70.43473609,maize,148.0,0.6377347709804292,Cool_Dry,Acidic,Low,60.42186070260859
87.0,54.0,20.0,25.61707368,63.4711755,6.576418207,108.8303762,maize,161.0,0.61566999145911,Hot_Dry,Neutral,Low,89.47210987224813
87.0,35.0,25.0,21.44526922,63.1621551,6.178056304,65.88951188,maize,147.0,0.5954794557191513,Cool_Dry,Acidic,Low,84.00153555530609
63.0,43.0,19.0,18.51816776,55.53128131,6.641906353,90.988051,maize,125.0,0.6541391293480364,Cool_Dry,Neutral,Low,80.38386313604863
84.0,57.0,25.0,22.53510514,67.99257471,6.489040367,64.40866039,maize,166.0,0.6519881129612299,Cool_Dry,Acidic,Low,87.10604232200481
64.0,35.0,23.0,23.02038334,61.89472002,5.680361038,63.03843397,maize,122.0,0.6586134188483197,Cool_Dry,Acidic,Low,84.88939363826312
60.0,46.0,22.0,24.89364635,65.61418761,6.625404348,87.9298085,maize,128.0,0.6894540523457441,Cool_Dry,Neutral,Low,92.08738904878302
98.0,44.0,21.0,25.77175115,74.089114,6.524478032,107.4931917,maize,163.0,0.578878216519843,Hot_Humid,Neutral,Low,85.45735713061664
75.0,56.0,18.0,19.39851734,62.35750641,5.696205468,60.95197486,maize,149.0,0.631171560025993,Cool_Dry,Acidic,Low,80.22889927720118
86.0,55.0,21.0,21.54156232,59.64024162,6.803931519,109.7515385,maize,162.0,0.6241942085223471,Cool_Dry,Neutral,Low,85.57206884867772
98.0,35.0,18.0,23.79746068,74.82913698,6.252797548,91.76337172,maize,151.0,0.5442623933325895,Cool_Humid,Acidic,Low,82.99318319693751
76.0,57.0,18.0,18.9802729,74.52600826,6.092725883,94.26249353,maize,151.0,0.6299347037020069,Cool_Humid,Acidic,Low,78.47090751969948
99.0,56.0,17.0,24.10859207,73.13112261,6.234330356,71.07562236,maize,172.0,0.5829544706209705,Cool_Humid,Acidic,Low,84.72751060356227
60.0,44.0,23.0,24.7947077,70.04556743,5.722579819,76.72860067,maize,127.0,0.6952478775797296,Cool_Humid,Acidic,Low,87.15578900175942
74.0,48.0,17.0,21.63162756,60.27766379,6.430616465,69.21803098,maize,139.0,0.6188516121115396,Cool_Dry,Acidic,Low,84.48518953153848
89.0,60.0,17.0,25.37548751,57.21025565,5.983952675,101.7004306,maize,166.0,0.6043430610473374,Hot_Dry,Acidic,Low,85.01148024328742
69.0,51.0,23.0,22.21738222,72.85462807,6.80163854,106.6213157,maize,143.0,0.6728102409397142,Cool_Humid,Neutral,Low,86.38761890092614
96.0,46.0,22.0,20.58314011,69.00128641,6.499936446,66.29390357,maize,164.0,0.5915009371043992,Cool_Dry,Acidic,Low,83.20488929826381
61.0,60.0,15.0,24.87502824,68.74248334,6.265564338,91.26056654,maize,136.0,0.6330805470143634,Cool_Dry,Acidic,Low,88.44924365191365
74.0,58.0,18.0,20.03728219,56.35606753,6.727303282,109.024141,maize,150.0,0.6341603655961656,Cool_Dry,Neutral,Low,82.42943967838485
74.0,43.0,23.0,25.95263264,61.89082199,6.325235159,99.57981207,maize,140.0,0.6448912815086404,Hot_Dry,Acidic,Low,88.1489543338761
63.0,43.0,32.0,19.28889933,65.47050802,6.807487794,71.3195307,maize,138.0,0.7453468444659824,Cool_Dry,Neutral,Low,87.18510786938558
99.0,36.0,20.0,20.57981887,65.34583901,6.671085817,78.34604471,maize,155.0,0.5529875322682192,Cool_Dry,Neutral,Low,84.44782477480393
77.0,36.0,32.0,24.71417533,56.73426469,6.648725327,88.45361858,maize,145.0,0.6599323967705523,Cool_Dry,Neutral,Low,88.42197696245499
87.0,60.0,23.0,20.27317074,63.91281869,6.439071996,62.50351892,maize,170.0,0.6381624920650089,Cool_Dry,Acidic,Low,84.66959377160788
60.0,38.0,17.0,18.41932981,64.23580251,6.474476516,76.41312437,maize,115.0,0.6406477742144457,Cool_Dry,Acidic,Low,82.74535955903617
94.0,54.0,17.0,23.39128187,61.74427165,5.871647806,107.3198135,maize,165.0,0.5881740294833543,Cool_Dry,Acidic,Low,84.5509863578429
95.0,38.0,22.0,19.84939404,61.24500053,5.730617109,100.7689246,maize,155.0,0.5738339395056156,Cool_Dry,Acidic,Low,79.3182107477277
84.0,44.0,21.0,21.869274,61.91044947,5.850439831,107.2681929,maize,149.0,0.6090583329281922,Cool_Dry,Acidic,Low,83.13043476103637
77.0,58.0,19.0,22.8056033,56.50768935,5.791649933,101.5952794,maize,154.0,0.6345089192449439,Cool_Dry,Acidic,Low,82.47509306440438
66.0,44.0,20.0,19.0781471,69.02298571,6.740000688,80.72515943,maize,130.0,0.6531949866592414,Cool_Dry,Neutral,Low,83.48180508560242
63.0,35.0,16.0,22.02720976,65.35549924,6.272417541,83.73280082,maize,114.0,0.6164509923923124,Cool_Dry,Acidic,Low,86.02643230078031
79.0,45.0,20.0,23.80546189,59.24537979,5.715208817,89.9622014,maize,144.0,0.6184436454686466,Cool_Dry,Acidic,Low,84.1335717727026
72.0,60.0,25.0,18.52510753,69.0276233,5.773454729,88.10234397,maize,157.0,0.6818384801450884,Cool_Dry,Acidic,Low,79.93729392928638
67.0,51.0,24.0,23.50297882,61.32026065,5.584171461,64.77791424,maize,142.0,0.685329199923627,Cool_Dry,Acidic,Low,85.43834372065936
86.0,36.0,24.0,26.54986394,72.89187265,5.787268394,73.33636055,maize,146.0,0.5967687027277456,Hot_Humid,Acidic,Low,82.70901738479668
76.0,48.0,18.0,19.29563411,69.63481219,5.77597783,83.21030571,maize,142.0,0.6200406580912938,Cool_Dry,Acidic,Low,79.40144627074895
75.0,53.0,18.0,20.68899915,59.4375337,6.864793607,103.651438,maize,146.0,0.6286653053669122,Cool_Dry,Neutral,Low,84.77781499695362
81.0,45.0,23.0,19.32666088,68.034493,6.192360003,84.22969177,maize,149.0,0.629114671137407,Cool_Dry,Acidic,Low,81.72274522572616
73.0,45.0,21.0,24.60532218,73.58868502,6.636803223,96.59195302,maize,139.0,0.6403261216979673,Cool_Humid,Neutral,Low,87.7324373112231
71.0,35.0,24.0,22.27,59.52193158,5.826426917,67.96704792,maize,130.0,0.6380381367161685,Cool_Dry,Acidic,Low,83.18648090272997
96.0,54.0,22.0,25.70196694,61.33450447,6.960358276,83.20711308,maize,172.0,0.6070502706673093,Hot_Dry,Neutral,Low,89.74726152655498
99.0,39.0,18.0,19.20129357,68.30578978,6.11275104,87.85092352,maize,156.0,0.5529814792675507,Cool_Dry,Acidic,Low,79.66097797594442
62.0,48.0,20.0,21.70181447,60.47470519,6.708446922,95.71388473,maize,130.0,0.6695644739659239,Cool_Dry,Neutral,Low,86.65170784661518
86.0,37.0,16.0,20.51716779,59.21235483,5.561510732,67.61013737,maize,139.0,0.5632920859178185,Cool_Dry,Acidic,Low,78.52296402185088
94.0,50.0,19.0,23.30355338,73.62548442,0.0,97.59081274,maize,163.0,0.5904472233459206,Cool_Humid,,Low,61.4557145152261
76.0,39.0,24.0,24.2547451,55.64709899,6.995843776,64.23845455,maize,139.0,0.6338545471200032,Cool_Dry,Neutral,Low,88.17067178602642
77.0,52.0,32.0,24.86374934,65.7420046,5.714799723,75.82270467,maize,161.0,0.704167612055313,Cool_Dry,Acidic,Low,89.04446407520517
74.0,39.0,23.0,22.6265115,65.77472881,6.78073637,88.17251033,maize,136.0,0.6347736452952106,Cool_Dry,Neutral,Low,88.7662296938163
81.0,49.0,20.0,18.04185513,60.61494304,5.513697923,104.2321615,maize,150.0,0.6210231802171856,Cool_Dry,Acidic,Low,77.0759076875415
63.0,42.0,21.0,23.26237612,72.33125523,5.798423908,67.10225139,maize,126.0,0.6666666666666666,Cool_Humid,Acidic,Low,84.13712794161906
99.0,38.0,21.0,22.88,71.59722446,6.352471866,67.72777298,maize,158.0,0.5621800071913752,Cool_Humid,Acidic,Low,83.84960564217914
90.0,52.0,25.0,25.97482359,69.36385721,6.822586546,103.2234212,maize,167.0,0.6302736372675094,Hot_Dry,Neutral,Low,89.123658339548
68.0,40.0,19.0,26.14384005,66.20569924,6.655426355,107.2361366,maize,127.0,0.6326289816383457,Hot_Dry,Neutral,Low,89.58562093512954
